home_avg_pts_for,home_avg_pts_against,home_last5_wins,home_home_wins_pct,home_away_wins_pct,home_avg_margin,away_avg_pts_for,away_avg_pts_against,away_last5_wins,away_home_wins_pct,away_away_wins_pct,away_avg_margin,home_court_flag,implied_total,efficiency_diff,target_total,target_margin,game_id,date,season,home_team_id,away_team_id
89.4,69.2,3,0.75,0.0,20.2,65.0,78.16666666666667,1,0.5,0.25,-13.166666666666666,0,154.4,33.366666666666674,137,5,401823420,2025-11-24,2026,189,2083
81.6,72.4,5,1.0,1.0,9.2,82.14285714285714,78.14285714285714,1,0.6666666666666666,0.25,4.0,0,163.74285714285713,5.199999999999989,148,8,401823430,2025-11-24,2026,2084,2678
78.8,64.6,5,1.0,1.0,14.2,88.8,66.0,5,1.0,1.0,22.8,0,167.6,-8.599999999999994,154,-34,401831229,2025-11-24,2026,2166,328
74.4,85.0,1,1.0,0.0,-10.6,85.2,70.2,2,1.0,0.0,15.0,1,159.60000000000002,-25.599999999999994,135,-5,401812287,2025-11-24,2026,161,2837
86.16666666666667,80.66666666666667,4,1.0,0.6666666666666666,5.5,68.85714285714286,77.14285714285714,2,1.0,0.16666666666666666,-8.285714285714286,0,155.02380952380952,13.785714285714278,155,-5,401831210,2025-11-24,2026,314,2739
74.2,85.8,1,0.3333333333333333,0.0,-11.6,78.4,59.8,5,1.0,0.5,18.6,0,152.60000000000002,-30.200000000000003,161,-23,401826701,2025-11-24,2026,195,2244
80.16666666666667,75.33333333333333,2,1.0,0.2,4.833333333333333,85.5,86.83333333333333,3,1.0,0.25,-1.3333333333333333,0,165.66666666666669,6.166666666666671,128,6,401829490,2025-11-24,2026,2754,290
74.66666666666667,71.33333333333333,2,0.5,0.5,3.3333333333333335,71.33333333333333,73.16666666666667,2,1.0,0.25,-1.8333333333333333,1,146.0,5.166666666666686,157,9,401826045,2025-11-24,2026,27,2755
73.33333333333333,68.16666666666667,3,0.5,0.5,5.166666666666667,73.28571428571429,73.28571428571429,2,0.5,0.0,0.0,0,146.61904761904762,5.166666666666657,137,-19,401831209,2025-11-24,2026,339,232
82.2,73.4,4,0.75,1.0,8.8,93.2,84.0,3,0.5,1.0,9.2,0,175.4,-0.4000000000000057,141,7,401820400,2025-11-25,2026,120,2439
73.33333333333333,86.83333333333333,1,0.25,0.0,-13.5,87.33333333333333,63.833333333333336,5,1.0,1.0,23.5,0,160.66666666666666,-36.99999999999999,128,-12,401831234,2025-11-25,2026,195,2351
69.66666666666667,79.33333333333333,0,0.2,0.0,-9.666666666666666,72.2,59.0,5,1.0,1.0,13.2,0,141.86666666666667,-22.86666666666666,123,-21,401817158,2025-11-25,2026,2350,2460
78.33333333333333,73.83333333333333,3,1.0,0.3333333333333333,4.5,59.166666666666664,75.66666666666667,1,0.5,0.0,-16.5,1,137.5,21.000000000000007,133,21,401826089,2025-11-25,2026,302,309
